species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower,longevity.yrs,notes
Crimora papillata,Crimora papillata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Triophinae,Crimora,Polyceridae,1,
Polycera capensis,Polycera capensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Polycerinae,Polycera,Polyceridae,1,
Thecacera pennigera,Thecacera pennigera,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Polycerinae,Thecacera,Polyceridae,1,
Provanna glabra,Provanna glabra,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Abyssochrysoidea,Provannidae,NA,Provanna,Provannidae,,not found
Boonea bisuturalis,Boonea bisuturalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae,1,
Boonea impressa,Boonea impressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae,1,
Boonea seminuda,Boonea seminuda,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae,1,
Brachystomia eulimoides,Brachystomia eulimoides,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Brachystomia,Pyramidellidae,1.5,
Brachystomia scalaris,Brachystomia scalaris,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Brachystomia,Pyramidellidae,1.5,
Chrysallida indistincta,Chrysallida indistincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Chrysallida,Pyramidellidae,0.930555567,
