Citation
"Pomeroy, D. and P. Mwima (2002). The State of Uganda's Biodiversity 2002. The State of Uganda's Biodiversity - an analysis of trends, Makerere University Institute of Environment and Natural Resources."
"Rands, M. (1989). ""Saving the Seychelles brush warbler."" Oryx 23(1): 3-Apr."
"Komdeur, J. (1996). ""Breeding of the Seychelles Magpie Robin Copsychus sechellarum and implications for its conservation."" Ibis 138(3): 485-498."
"Groombridge, J. J., Bruford, M.W., Jones, C.G, Nichols, R.A. (2001). ""Evaluating the severity of the population bottleneck mauritius kestrel Falco punctatus from ringing records using MCMC estimation."" Journal of Animal Ecology 70: 401-409."
"WPA/Birdlife/SSC Partridge, Q. a. F. S. G. (2000). Partridges, Quails, Francolins, Snowcocks, Guineafowl and Turkeys. Status survey and conservation action plan 2000-2004. Status survey and conservation action plan. R. A. Fuller, J. P. Carroll and P. K. McGowan. Reading, UK., IUCN.: pp.26."
"WWF-SA (2000). ""Cape griffon."""
"Arinaitwe, H., D. Pomeroy, et al. (2000). The State of Uganda's Biodiversity 2000. The State of Uganda's Biodiversity - an analysis of trends, Makerere University Institute of Environment and Natural Resources.| Pomeroy, D. (2010). The State of Uganda's Biodiversity 2010. The State of Uganda's Biodiversity - an analysis of trends, Makerere University Institute of Environment and Natural Resources."
"Snyder, N., P. McGowan, et al. (2000). Parrots.  Status Survey and Coservation Action Plan 2000-2004. IUCN. Gland, Switzerland and Cambridge, UK."
"Kelly, M. J., M. K. Laurenson, et al. (1998). ""Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years."" Journal of Zoology 244: 473-488."
"Nowell, K. and P. Jackson (1996). Wild Cats: Status survey and conservation action plan., IUCN/SSC Cat Specialist Group.: 421pp."
"Broten, M. D. and M. Said (1995). Population trends of ungulates in and around Kenya's Masai Mara Reserve. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 169-193.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,."
