value
Emberiza citrinella
Erithacus rubecula
Falco subbuteo
Ficedula albicollis
Ficedula hypoleuca
Ficedula parva
Fringilla coelebs
Garrulus glandarius
Glaucidium passerinum
Hippolais icterina
Jynx torquilla
Lanius collurio
Lanius excubitor
Locustella fluviatilis
Lophophanes cristatus
Loxia curvirostra
Luscinia luscinia
Milvus migrans
Motacilla alba
Muscicapa striata
Nucifraga caryocatactes
Oriolus oriolus
Parus major
Periparus ater
Pernis apivorus
Phoenicurus phoenicurus
Phylloscopus collybita
Phylloscopus sibilatrix
Phylloscopus trochiloides
Phylloscopus trochilus
Picoides tridactylus
Picus canus
Picus viridis
Poecile montanus
Poecile palustris
Prunella modularis
Pyrrhula pyrrhula
Regulus ignicapilla
Regulus regulus
Sitta europaea
Spinus spinus
Streptopelia turtur
Strix aluco
Sylvia atricapilla
Sylvia borin
Sylvia communis
Tetrastes bonasia
Troglodytes troglodytes
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus viscivorus
Upupa epops
Ammodramus humeralis
Anabacerthia amaurotis
Anabazenops fuscus
Anthracothorax nigricollis
Aramides saracura
Arremon semitorquatus
Athene cunicularia
Attila phoenicurus
Attila rufus
Automolus leucophthalmus
Baryphthengus ruficapillus
Batara cinerea
Brotogeris tirica
Buteo brachyurus
Cacicus chrysopterus
Cacicus haemorrhous
Campephilus robustus
Camptostoma obsoletum
Campylorhamphus falcularius
Cantorchilus longirostris
Cariama cristata
Carpornis cucullata
Carpornis melanocephala
Cathartes aura
Celeus flavescens
Chaetura cinereiventris
Chaetura meridionalis
Chamaeza campanisona
Chamaeza meruloides
Chionomesa fimbriata
Chionomesa lactea
Chiroxiphia caudata
Chloroceryle amazona
Chloroceryle americana
Chloroceryle inda
Chlorophanes spiza
Chlorophonia cyanea
Chrysuronia versicolor
Cissopis leverianus
Clytolaema rubricauda
Coereba flaveola
Colaptes campestris
Colaptes melanochloros
Colibri serrirostris
Colonia colonus
Columbina talpacoti
Conopias trivirgatus
Conopophaga lineata
