species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Aclis hendersoni,Aclis hendersoni,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Vanikoroidea,Eulimidae,NA,Aclis,Eulimidae
Acteocina canaliculata,Acteocina canaliculata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Bulloidea,Tornatinidae,NA,Acteocina,Tornatinidae
Acteocina lepta,Acteocina lepta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Bulloidea,Tornatinidae,NA,Acteocina,Tornatinidae
Agriopoma morrhuanum,Agriopoma morrhuanum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Callocardiinae,Agriopoma,Veneridae
Alvania auberiana,Alvania auberiana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Alvania,Rissoidae
Ameritella agilis,Ameritella agilis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Ameritella,Tellinidae
Ameritella mitchelli,Ameritella mitchelli,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Ameritella,Tellinidae
Ameritella sybaritica,Ameritella sybaritica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Ameritella,Tellinidae
Ameritella versicolor,Ameritella versicolor,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Ameritella,Tellinidae
Anadara transversa,Anadara transversa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Anadara,Arcidae
