species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Lyonsia hyalina,Lyonsia hyalina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Lyonsiidae,NA,Lyonsia,Lyonsiidae
Macoploma tenta,Macoploma tenta,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Macominae,Macoploma,Tellinidae
Meioceras nitidum,Meioceras nitidum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Meioceras,Caecidae
Mercenaria mercenaria,Mercenaria mercenaria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Mercenaria,Veneridae
Mulinia lateralis,Mulinia lateralis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Mulinia,Mactridae
Musculus lateralis,Musculus lateralis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae
Mytilopsis leucophaeata,Mytilopsis leucophaeata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,Dreissenoidea,Dreissenidae,Congeriinae,Mytilopsis,Dreissenidae
Mytilus edulis,Mytilus edulis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Mytilinae,Mytilus,Mytilidae
Nassarius acutus,Nassarius acutus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Nassarius,Nassariidae
Neoterebra dislocata,Neoterebra dislocata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Conoidea,Terebridae,Terebrinae,Neoterebra,Terebridae
Neverita duplicata,Neverita duplicata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Neverita,Naticidae
Nucula proxima,Nucula proxima,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae
Nuculana acuta,Nuculana acuta,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Saccella,Nuculanidae
Nuculana concentrica,Nuculana concentrica,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,Nuculanidae
Olivella mica,Olivella mica,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Olivoidea,Olividae,Olivellinae,Olivella,Olividae
Oudardia iris,Oudardia iris,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Oudardia,Tellinidae
Pandora gouldiana,Pandora gouldiana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae
Pandora trilineata,Pandora trilineata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae
Paradentalium americanum,Paradentalium americanum,,Eukaryota,Animalia,Mollusca,Scaphopoda,NA,NA,NA,NA,Dentaliida,NA,Dentaliidae,NA,Paradentalium,Dentaliidae
Parvanachis obesa,Parvanachis obesa,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,NA,Parvanachis,Columbellidae
Parvicardium pinnulatum,Parvicardium pinnulatum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Lymnocardiinae,Parvicardium,Cardiidae
Parvilucina crenella,Parvilucina crenella,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Lucininae,Parvilucina,Lucinidae
Periploma margaritaceum,Periploma margaritaceum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Thracioidea,Periplomatidae,NA,Periploma,Periplomatidae
Phlyctiderma semiasperum,Phlyctiderma semiasperum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Ungulinoidea,Ungulinidae,NA,Phlyctiderma,Ungulinidae
Phrontis alba,Phrontis alba,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Phrontis,Nassariidae
Phrontis vibex,Phrontis vibex,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Phrontis,Nassariidae
Physa jennessi,Physa jennessi,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Physidae,Physinae,Physa,Physidae
Physella gyrina,Physella gyrina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Physidae,Physinae,Physella,Physidae
Pitar fulminatus,Pitar fulminatus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Callocardiinae,Jasypitar,Veneridae
Planorbella trivolvis,Planorbella trivolvis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Planorbella,Planorbidae
Pleuromeris tridentata,Pleuromeris tridentata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Miodomeridinae,Pleuromeris,Miodomeridinae
Polymesoda caroliniana,Polymesoda caroliniana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Cyrenoidea,Cyrenoididae,NA,Polymesoda,Cyrenoididae
Probythinella protera,Probythinella protera,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Hydrobiidae,NA,Probythinella,Hydrobiidae
Promenetus exacuous,Promenetus exacuous,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Promenetus,Planorbidae
Promenetus umbilicatellus,Promenetus umbilicatellus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Promenetus,Planorbidae
Prunum apicinum,Prunum apicinum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Marginellidae,Pruninae,Prunum,Marginellidae
Pteromeris perplana,Pteromeris perplana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Miodomeridinae,Pteromeris,Miodomeridinae
Radiolucina amianta,Radiolucina amianta,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Lucininae,Radiolucina,Lucinidae
Rangia cuneata,Rangia cuneata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Rangia,Mactridae
Schwartziella catesbyana,Schwartziella catesbyana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Zebinidae,NA,Schwartziella,Zebinidae
Scissula similis,Scissula similis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Scissula,Tellinidae
Semele bellastriata,Semele bellastriata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Semelidae,NA,Semele,Semelidae
Semele proficua,Semele proficua,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Semelidae,NA,Semele,Semelidae
Semelina nuculoides,Semelina nuculoides,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Semelidae,NA,Semelina,Semelidae
Solemya occidentalis,Solemya occidentalis,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Solemyida,Solemyoidea,Solemyidae,Solemyinae,Solemya,Solemyidae
Solemya velum,Solemya velum,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Solemyida,Solemyoidea,Solemyidae,Solemyinae,Solemya,Solemyidae
Sphenia fragilis,Sphenia fragilis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Cryptomyinae,Sphenia,Myidae
Spisula solidissima,Spisula solidissima,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Spisula,Mactridae
Tagelus divisus,Tagelus divisus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Solecurtidae,NA,Tagelus,Solecurtidae
Tagelus plebeius,Tagelus plebeius,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Solecurtidae,NA,Tagelus,Solecurtidae
Tampaella tampaensis,Tampaella tampaensis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Tampaella,Tellinidae
Tectonatica pusilla,Tectonatica pusilla,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Naticinae,Tectonatica,Naticidae
Teinostoma biscaynense,Teinostoma biscaynense,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Teinostomatidae,NA,Teinostoma,Teinostomatidae
Texadina sphinctostoma,Texadina sphinctostoma,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Cochliopidae,Semisalsinae,Texadina,Cochliopidae
Turbonilla interrupta,Turbonilla interrupta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Turbonillinae,Turbonilla,Pyramidellidae
Urosalpinx cinerea,Urosalpinx cinerea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Urosalpinx,Muricidae
Vitta usnea,Vitta usnea,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Neritoidea,Neritidae,Neritininae,Vitta,Neritidae
Volvulella persimilis,Volvulella persimilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Bulloidea,Rhizoridae,NA,Volvulella,Rhizoridae
Yoldia limatula,Yoldia limatula,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Yoldiidae,Yoldiinae,Yoldia,Yoldiidae
Zebina browniana,Zebina browniana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Zebinidae,NA,Zebina,Zebinidae
Abralia veranyi,Abralia veranyi,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,Enoploteuthoidea,Enoploteuthidae,NA,Abralia,Enoploteuthidae
Alvania carinata,Alvania carinata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Alvania,Rissoidae
Antalis entalis,Antalis entalis,,Eukaryota,Animalia,Mollusca,Scaphopoda,NA,NA,NA,NA,Dentaliida,NA,Dentaliidae,NA,Antalis,Dentaliidae
Arrhoges occidentalis,Arrhoges occidentalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Stromboidea,Aporrhaidae,NA,Arrhoges,Aporrhaidae
Astarte quadrans,Astarte quadrans,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,Astartinae,Astarte,Astartidae
Bathyarca pectunculoides,Bathyarca pectunculoides,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Bathyarca,Arcidae
Chlamys islandica,Chlamys islandica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Chlamys,Pectinidae
Cochlodesma leanum,Cochlodesma leanum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Thracioidea,Periplomatidae,NA,Cochlodesma,Periplomatidae
Colus stimpsoni,Colus stimpsonii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Colidae,NA,Colus,Colidae
Costoanachis translirata,Costoanachis translirata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Atiliinae,Costoanachis,Columbellidae
Doryteuthis pealeii,Doryteuthis pealeii,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Doryteuthis,Loliginidae
Ennucula delphinodonta,Ennucula delphinodonta,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae
Frigidoalvania carinata,Frigidoalvania carinata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Frigidoalvania,Rissoidae
Heteranomia squamula,Heteranomia squamula,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Heteranomia,Anomiidae
Illex illecebrosus,Illex illecebrosus,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,Cranchioidea,Ommastrephidae,Illicinae,Illex,Ommastrephidae
Laona quadrata,Laona quadrata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Philinoidea,Laonidae,NA,Laona,Laonidae
Mendicula pygmaea,Mendicula pygmaea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Thyasiroidea,Thyasiridae,NA,Mendicula,Thyasiridae
Musculus discors,Musculus discors,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae
Neptunea decemcostata,Neptunea decemcostata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Neptuneinae,Neptunea,Buccinidae
Nuculana pernula,Nuculana pernula,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,Nuculanidae
Pandora inflata,Pandora inflata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae
Polinices immaculatus,Polinices immaculatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Polinices,Naticidae
Solamen glandula,Solamen glandula,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Solamen,Mytilidae
Thyasira flexuosa,Thyasira flexuosa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Thyasiroidea,Thyasiridae,NA,Thyasira,Thyasiridae
Turbonilla elegantula,Turbonilla elegantula,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Turbonillinae,Turbonilla,Pyramidellidae
Acroloxus lacustris,Acroloxus lacustris,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Acroloxidae,NA,Acroloxus,Acroloxidae
Anisus vortex,Anisus vortex,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Anisus,Planorbidae
Anodonta anatina,Anodonta anatina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Palaeoheterodonta,NA,NA,NA,NA,Unioninae,Anodonta,Unioninae
Bithynia leachii,Bithynia leachii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Bithyniidae,Bithyniinae,Bithynia,Bithyniidae
Gyraulus albus,Gyraulus albus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Gyraulus,Planorbidae
Alcadia alta,Alcadia alta,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Helicinoidea,Helicinidae,Helicininae,Alcadia,Helicinidae
Austroselenites alticola,Austroselenites alticola,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Haplotrematoidea,Haplotrematidae,NA,Zophos,Haplotrematidae
Caracolus carocolla,Caracolus carocolla,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Sagdoidea,Solaropsidae,Caracolinae,Caracolus,Solaropsidae
Cepolis squamosa,Cepolis squamosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,NA,Cepolidae,NA,Cepolis,Cepolidae
Diplosolenodes occidentalis,Diplosolenodes occidentalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,Systellommatophora,Veronicelloidea,Veronicellidae,NA,Diplosolenodes,Veronicellidae
Gaeotis nigrolineata,Gaeotis nigrolineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,NA,Amphibulimidae,NA,Gaeotis,Amphibulimidae
Helicina striata,Helicina striata,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Helicinoidea,Helicinidae,Helicininae,Helicina,Helicinidae
Nenia tridens,Nenia tridens,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,NA,NA,Neniinae,Nenia,Neniinae
Neopupina crocea,Neopupina crocea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Architaenioglossa,Cyclophoroidea,Megalomastomatidae,NA,Neopupina,Megalomastomatidae
Oleacina glabra,Oleacina glabra,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Oleacinoidea,Oleacinidae,Varicellinae,Laevaricella,Oleacinidae
Oleacina playa,Oleacina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Oleacinoidea,Oleacinidae,Oleacininae,NA,Oleacinidae
Parthena acutangula,Parthena acutangula,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Sagdoidea,Sagdidae,Polydontinae,Parthena,Sagdidae
Platysuccinea portoricensis,Platysuccinea portoricensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Sagdoidea,Sagdidae,Platysuccineinae,Platysuccinea,Sagdidae
Stenogyra terebraster,Stenogyra terebraster,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Achatinoidea,Achatinidae,Stenogyrinae,Stenogyra,Achatinidae
Phorcus turbinatus,Phorcus turbinatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Trochidae,Cantharidinae,Phorcus,Trochidae
Watasenia scintillans,Watasenia scintillans,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,Enoploteuthoidea,Enoploteuthidae,NA,Watasenia,Enoploteuthidae
Doryteuthis opalescens,Doryteuthis opalescens,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Doryteuthis,Loliginidae
Fusitriton oregonensis,Fusitriton oregonensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Cymatiidae,NA,Fusitriton,Cymatiidae
Neverita lewisii,Neverita lewisii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Neverita,Naticidae
Onykia robusta,Onykia robusta,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Onykia,Onychoteuthidae
Rossia pacifica,Rossia pacifica,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Sepiolida,Sepioloidea,Sepiolidae,Rossiinae,Rossia,Sepiolidae
Abyssogena phaseoliformis,Abyssogena phaseoliformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Glossoidea,Vesicomyidae,Pliocardiinae,Abyssogena,Vesicomyidae
Acharax johnsoni,Acharax johnsoni,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Solemyida,Solemyoidea,Solemyidae,Acharacinae,Acharax,Solemyidae
Bathyacmaea nipponica,Bathyacmaea nipponica,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Nacellida,Lepetoidea,Pectinodontidae,NA,Bathyacmaea,Pectinodontidae
Bathymodiolus septemdierum,Bathymodiolus septemdierum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Bathymodiolinae,Bathymodiolus,Modiolidae
Gigantidas platifrons,Gigantidas platifrons,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Bathymodiolinae,Gigantidas,Modiolidae
Provanna glabra,Provanna glabra,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Abyssochrysoidea,Provannidae,NA,Provanna,Provannidae
Aplysia californica,Aplysia californica,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,Aplysiida,Aplysioidea,Aplysiidae,Aplysiinae,Aplysia,Aplysiidae
Atrimitra idae,Atrimitra idae,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Mitroidea,Mitridae,NA,Atrimitra,Mitridae
Californiconus californicus,Californiconus californicus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Conoidea,Conidae,NA,Californiconus,Conidae
Chaceia ovoidea,Chaceia ovoidea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,Pholadoidea,Pholadidae,Martesiinae,Chaceia,Pholadidae
Crassadoma gigantea,Crassadoma gigantea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Crassadoma,Pectinidae
Haliotis corrugata,Haliotis corrugata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Lepetellida,Haliotoidea,Haliotidae,NA,Haliotis,Haliotidae
Kelletia kelletii,Kelletia kelletii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Austrosiphonidae,NA,Kelletia,Austrosiphonidae
Megastraea undosa,Megastraea undosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Megastraea,Turbinidae
Megathura crenulata,Megathura crenulata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Lepetellida,Fissurelloidea,Fissurellidae,Fissurellideinae,Megathura,Fissurellidae
Mytilus californianus,Mytilus californianus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Mytilinae,Mytilus,Mytilidae
Neobernaya spadicea,Neobernaya spadicea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Cypraeoidea,Cypraeidae,Zonariinae,Neobernaya,Cypraeidae
