Class,Order,Family,Genus
Gastropoda,Neogastropoda,Raphitomidae,Raphitoma
Scaphopoda,Dentaliida,Rhabdidae,Rhabdus
Bivalvia,Galeommatida,Lasaeidae,Rhamphidonta
Gastropoda,Caenogastropoda incertae sedis,Cerithiidae,Rhinoclavis
Solenogastres,NA,Rhopalomeniidae,Rhopalomenia
Gastropoda,NA,Acteonidae,Rictaxis
Gastropoda,Lepetellida,Fissurellidae,Rimula
Gastropoda,Littorinimorpha,Rissoidae,Rissoa
Gastropoda,NA,Rissoellidae,Rissoella
Gastropoda,Littorinimorpha,Rissoinidae,Rissoina
Gastropoda,Littorinimorpha,Rissoinidae,Phosinella
Gastropoda,Littorinimorpha,Zebinidae,Schwartziella
Gastropoda,Littorinimorpha,Rissoinidae,Zebinella
Bivalvia,Galeommatida,Lasaeidae,Mysella
Bivalvia,Cardiida,Semelidae,Rochefortina
Gastropoda,Doridida,Discodorididae,Rostanga
Gastropoda,Cephalaspidea,Alacuppidae,Roxania
Gastropoda,Runcinida,Runcinidae,Runcina
Bivalvia,Venerida,Veneridae,Samarangia
Gastropoda,Caenogastropoda incertae sedis,Pickworthiidae,Sansonia
Bivalvia,Galeommatida,Basterotiidae,Saxicavella
Bivalvia,Venerida,Veneridae,Saxidomus
Gastropoda,NA,Pyramidellidae,Sayella
Gastropoda,NA,Pyramidellidae,Syrnola
Bivalvia,Pectinida,Pectinidae,Scaeochlamys
Gastropoda,Cephalaspidea,Scaphandridae,Scaphander
Polyplacophora,Chitonida,Schizoplacidae,Schizoplax
Bivalvia,Galeommatida,Galeommatidae,Scintillona
Bivalvia,Galeommatida,Galeommatidae,Scintilla
Bivalvia,Cardiida,Semelidae,Scrobicularia
Gastropoda,Caenogastropoda incertae sedis,Cerithiopsidae,Seila
Bivalvia,Cardiida,Tellinidae,Cadella
Bivalvia,Cardiida,Semelidae,Semele
Bivalvia,Cardiida,Semelidae,Semelina
Bivalvia,Galeommatida,Lasaeidae,Hemilepton
Bivalvia,Pectinida,Pectinidae,Semipallium
Cephalopoda,Sepiida,Sepiidae,Sepia
Cephalopoda,Sepiolida,Sepiadariidae,Sepiadarium
Cephalopoda,Sepiolida,Sepiolidae,Sepietta
Cephalopoda,Sepiolida,Sepiolidae,Sepiola
Bivalvia,Cardiida,Cardiidae,Serripes
Gastropoda,Littorinimorpha,Naticidae,Sigatica
Bivalvia,Adapedonta,Pharidae,Siliqua
Gastropoda,Littorinimorpha,Ovulidae,Simnia
Bivalvia,Venerida,Mactridae,Simomactra
Gastropoda,Littorinimorpha,Naticidae,Sinum
Gastropoda,Cycloneritida,Neritidae,Smaragdia
Gastropoda,Trochida,Solariellidae,Minolia
Gastropoda,Littorinimorpha,Tornidae,Solariorbis
Bivalvia,Cardiida,Solecurtidae,Solecurtus
Bivalvia,Solemyida,Solemyidae,Solemya
Bivalvia,Adapedonta,Solenidae,Solen
Bivalvia,Pectinida,Pectinidae,Spathochlamys
Caudofoveata,Chaetodermatida,Prochaetodermatidae,Spathoderma
Bivalvia,Myida,Myidae,Sphenia
Gastropoda,Neogastropoda,Drilliidae,Fenimorea
Bivalvia,Pectinida,Spondylidae,Spondylus
Bivalvia,Mytilida,Modiolidae,Stavelia
Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax
Gastropoda,NA,Limapontiidae,Calliopaea
Gastropoda,Trochida,Trochidae,Stomatella
Gastropoda,Neogastropoda,Muricidae,Stramonita
Bivalvia,Arcida,Noetiidae,Striarca
Bivalvia,Cardiida,Tellinidae,Strigilla
Gastropoda,Littorinimorpha,Eulimidae,Hemiliostraca
Gastropoda,Littorinimorpha,Strombidae,Strombus
Gastropoda,Littorinimorpha,Strombidae,Euprotomus
Gastropoda,Littorinimorpha,Strombidae,Doxander
Gastropoda,Littorinimorpha,Strombidae,Dolomena
Gastropoda,Littorinimorpha,Strombidae,Canarium
Gastropoda,Littorinimorpha,Strombidae,Terestrombus
Gastropoda,Littorinimorpha,Strombidae,Lentigo
Gastropoda,Littorinimorpha,Strombidae,Latissistrombus
Gastropoda,Littorinimorpha,Strombidae,Ministrombus
Gastropoda,Aplysiida,Aplysiidae,Stylocheilus
Gastropoda,Neogastropoda,Mitridae,Imbricaria
Bivalvia,Venerida,Veneridae,Sunetta
Gastropoda,Neogastropoda,Turbinellidae,Syrinx
Bivalvia,Cardiida,Solecurtidae,Tagelus
Bivalvia,Venerida,Veneridae,Polititapes
Bivalvia,Venerida,Veneridae,Ruditapes
Gastropoda,Trochida,Tegulidae,Agathistoma
Gastropoda,Littorinimorpha,Teinostomatidae,Teinostoma
Bivalvia,Cardiida,Tellinidae,Tellidora
Bivalvia,Galeommatida,Lasaeidae,Tellimya
Bivalvia,Cardiida,Tellinidae,Serratina
Bivalvia,Cardiida,Tellinidae,Eurytellina
Bivalvia,Cardiida,Tellinidae,Megangulus
Bivalvia,Cardiida,Tellinidae,Clathrotellina
Bivalvia,Cardiida,Tellinidae,Hanleyanus
Bivalvia,Cardiida,Tellinidae,Phylloda
Bivalvia,Cardiida,Tellinidae,Acorylus
Bivalvia,Cardiida,Tellinidae,Idatellina
Bivalvia,Cardiida,Tellinidae,Oudardia
Bivalvia,Cardiida,Tellinidae,Senegona
Bivalvia,Cardiida,Tellinidae,Tampaella
Bivalvia,Cardiida,Tellinidae,Tellina
Bivalvia,Cardiida,Tellinidae,Tonganaella
Bivalvia,Cardiida,Tellinidae,Pharaonella
Bivalvia,Cardiida,Tellinidae,Scutarcopagia
Bivalvia,Cardiida,Tellinidae,Tellinella
Bivalvia,Cardiida,Tellinidae,Pinguitellina
Bivalvia,Cardiida,Tellinidae,Scissula
Bivalvia,Cardiida,Tellinidae,Phyllodina
Gastropoda,Littorinimorpha,Seraphsidae,Terebellum
Gastropoda,Neogastropoda,Terebridae,Neoterebra
Gastropoda,Neogastropoda,Terebridae,Terebra
Gastropoda,Neogastropoda,Terebridae,Bathyterebra
Gastropoda,Neogastropoda,Terebridae,Myurella
Gastropoda,Neogastropoda,Terebridae,Myurellopsis
Bivalvia,Myida,Teredinidae,Teredo
Bivalvia,Myida,Teredinidae,Teredora
Gastropoda,Nudibranchia,Tergipedidae,Tergipes
Gastropoda,Littorinimorpha,Cochliopidae,Texadina
Gastropoda,Neogastropoda,Muricidae,Mancinella
Gastropoda,Neogastropoda,Costellariidae,Mitromica
Gastropoda,Doridida,Polyceridae,Thecacera
Bivalvia,Cardiida,Semelidae,Theora
Bivalvia,Venerida,Veneridae,Timoclea
Bivalvia,Venerida,Veneridae,Tivela
Polyplacophora,Chitonida,Tonicellidae,Tonicella
Polyplacophora,Chitonida,Tonicellidae,Boreochiton
Gastropoda,Littorinimorpha,Tonnidae,Tonna
Gastropoda,Littorinimorpha,Tornidae,Tornus
Bivalvia,Cardiida,Cardiidae,Trachycardium
Bivalvia,Cardiida,Cardiidae,Dallocardia
Gastropoda,NA,Pyramidellidae,Tragula
Bivalvia,Venerida,Veneridae,Transennella
Gastropoda,Doridida,Goniodorididae,Trapania
Bivalvia,Venerida,Trapezidae,Trapezium
Bivalvia,Venerida,Mactridae,Tresus
Gastropoda,Littorinimorpha,Capulidae,Ariadnaria
Gastropoda,Littorinimorpha,Capulidae,Trichotropis
Gastropoda,Trochida,Phasianellidae,Tricolia
Gastropoda,Trochida,Phasianellidae,Hiloa
Bivalvia,Cardiida,Cardiidae,Trigoniocardia
Bivalvia,NA,Verticordiidae,Trigonulina
Gastropoda,Caenogastropoda incertae sedis,Triphoridae,Nototriphora
Gastropoda,NA,Pyramidellidae,Triptychus
Bivalvia,Arcida,Arcidae,Trisidos
Gastropoda,Nudibranchia,Tritoniidae,Tritonia
Gastropoda,Nudibranchia,Tritoniidae,Duvaucelia
Gastropoda,Littorinimorpha,Triviidae,Trivia
Gastropoda,Littorinimorpha,Triviidae,Niveria
Gastropoda,Neogastropoda,Muricidae,Boreotrophon
Gastropoda,Littorinimorpha,Cochliopidae,Tryonia
Gastropoda,Neogastropoda,Vasidae,Tudivasum
Bivalvia,Myida,Myidae,Tugonia
Gastropoda,Trochida,Turbinidae,Turbo
Gastropoda,NA,Pyramidellidae,Turbonilla
Gastropoda,NA,Pyramidellidae,Pyrgiscus
Gastropoda,NA,Pyramidellidae,Houbricka
Gastropoda,Neogastropoda,Turridae,Turris
Gastropoda,Caenogastropoda incertae sedis,Turritellidae,Turritella
Gastropoda,Caenogastropoda incertae sedis,Turritellidae,Turritellinella
Bivalvia,Venerida,Veneridae,Turtonia
Gastropoda,Neogastropoda,Borsoniidae,Typhlomangelia
Gastropoda,Trochida,Trochidae,Umbonium
Gastropoda,Neogastropoda,Muricidae,Urosalpinx
Gastropoda,Neogastropoda,Muricidae,Vokesinotus
Gastropoda,Littorinimorpha,Velutinidae,Velutina
Gastropoda,Caenogastropoda incertae sedis,Turritellidae,Vermicularia
Bivalvia,NA,Verticordiidae,Haliris
Gastropoda,Neogastropoda,Costellariidae,Vexillum
Gastropoda,Littorinimorpha,Vitrinellidae,Vitrinella
Bivalvia,Pectinida,Pectinidae,Volachlamys
Gastropoda,Neogastropoda,Volutidae,Volutoconus
Gastropoda,Littorinimorpha,Ovulidae,Volva
Gastropoda,Cephalaspidea,Rhizoridae,Volvulella
Bivalvia,Ostreida,Vulsellidae,Vulsella
Gastropoda,Littorinimorpha,Xenophoridae,Xenophora
Gastropoda,Littorinimorpha,Xenophoridae,Onustus
Bivalvia,Myida,Xylophagaidae,Xylophaga
Gastropoda,Littorinimorpha,Zebinidae,Zebina
Gastropoda,Lepetellida,Fissurellidae,Zeidora
Bivalvia,Myida,Pholadidae,Zirfaea
Cephalopoda,Oegopsida,Enoploteuthidae,Abralia
Bivalvia,Solemyida,Solemyidae,Acharax
Gastropoda,Lepetellida,Addisoniidae,Addisonia
Bivalvia,Mytilida,Modiolidae,Adipicola
Bivalvia,Mytilida,Modiolidae,Terua
Bivalvia,Pectinida,Pectinidae,Lindapecten
Gastropoda,Neogastropoda,Cancellariidae,Axelella
Gastropoda,Doridida,Discodorididae,Sebadoris
Gastropoda,Caenogastropoda incertae sedis,Paskentanidae,Alviniconcha
Gastropoda,Doridida,Discodorididae,Sclerodoris
Bivalvia,Lucinida,Lucinidae,Pegophysema
Gastropoda,Littorinimorpha,Cymatiidae,Argobuccinum
Gastropoda,Littorinimorpha,Atlantidae,Atlanta
Bivalvia,Arcida,Arcidae,Fugleria
Gastropoda,Nacellida,Pectinodontidae,Bathyacmaea
Bivalvia,Mytilida,Modiolidae,Bathymodiolus
Bivalvia,Mytilida,Modiolidae,Gigantidas
Cephalopoda,Octopoda,Bathypolypodidae,Bathypolypus
Cephalopoda,Bathyteuthida,Bathyteuthidae,Bathyteuthis
Gastropoda,Neogastropoda,Buccinidae,Bayerius
Bivalvia,Mytilida,Modiolidae,Benthomodiolus
Bivalvia,Mytilida,Modiolidae,Botula
Gastropoda,Trochida,Skeneidae,Bruceiella
