Class,Order,Family,Genus
Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis
Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis
Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis
Cephalopoda,Octopoda,Argonautidae,Argonauta
Cephalopoda,Oegopsida,Cycloteuthidae,Discoteuthis
Cephalopoda,Oegopsida,Thysanoteuthidae,Thysanoteuthis
Cephalopoda,Oegopsida,Lycoteuthidae,Selenoteuthis
Cephalopoda,Octopoda,Cirroteuthidae,Cirrothauma
Gastropoda,Littorinimorpha,Cymatiidae,Cabestana
Gastropoda,Neogastropoda,Muricidae,Dicathais
Gastropoda,Trochida,Turbinidae,Lunella
Gastropoda,Littorinimorpha,Ranellidae,Ranella
Gastropoda,Neogastropoda,Muricidae,Agnewia
Gastropoda,Doridida,Chromodorididae,Goniobranchus
Gastropoda,Doridida,Discodorididae,Aphelodoris
Gastropoda,Neogastropoda,Muricidae,Cronia
Gastropoda,Nudibranchia,Facelinidae,Pteraeolidia
Gastropoda,NA,Aplustridae,Bullina
Gastropoda,Doridida,Dendrodorididae,Doriopsilla
Gastropoda,Doridida,Chromodorididae,Hypselodoris
Gastropoda,Nudibranchia,Myrrhinidae,Phyllodesmium
Gastropoda,Doridida,Chromodorididae,Miamira
Gastropoda,Doridida,Polyceridae,Nembrotha
Gastropoda,Nudibranchia,Flabellinidae,Coryphellina
Gastropoda,Umbraculida,Umbraculidae,Umbraculum
Bivalvia,Ostreida,Pinnidae,Pinna
Cephalopoda,Octopoda,Octopodidae,Hapalochlaena
Gastropoda,Cephalaspidea,Aglajidae,Philinopsis
Gastropoda,Doridida,Polyceridae,Plocamopherus
Gastropoda,Littorinimorpha,Ovulidae,Phenacovolva
Gastropoda,Littorinimorpha,Ovulidae,Cuspivolva
Gastropoda,Nudibranchia,Samlidae,Samla
Gastropoda,Trochida,Trochidae,Clanculus
Gastropoda,Neogastropoda,Mitridae,Isara
Gastropoda,Doridida,Chromodorididae,Mexichromis
Gastropoda,Littorinimorpha,Ovulidae,Margovula
Gastropoda,Doridida,Chromodorididae,Glossodoris
Gastropoda,Nudibranchia,Facelinidae,Austraeolis
Gastropoda,Doridida,Chromodorididae,Thorunna
Gastropoda,Littorinimorpha,Cymatiidae,Austrosassia
Gastropoda,Doridida,Chromodorididae,Diversidoris
Gastropoda,Nudibranchia,Tethydidae,Melibe
Gastropoda,Doridida,Discodorididae,Carminodoris
Gastropoda,Trochida,Turbinidae,Bellastraea
Gastropoda,Nudibranchia,Arminidae,Dermatobranchus
Gastropoda,Doridida,Goniodorididae,Goniodoridella
Gastropoda,Doridida,Actinocyclidae,Hallaxa
Gastropoda,Caenogastropoda incertae sedis,Campanilidae,Campanile
Gastropoda,Neogastropoda,Muricidae,Bedeva
Gastropoda,Doridida,Chromodorididae,Chromodoris
Gastropoda,Trochida,Tegulidae,Tectus
Gastropoda,Trochida,Turbinidae,Astralium
Gastropoda,Littorinimorpha,Cypraeidae,Zoila
Gastropoda,Cephalaspidea,Gastropteridae,Sagaminopteron
Gastropoda,Trochida,Trochidae,Austrocochlea
Gastropoda,Littorinimorpha,Cypraeidae,Cribrarula
Gastropoda,Trochida,Trochidae,Phasianotrochus
Cephalopoda,Sepiolida,Sepiadariidae,Sepioloidea
Gastropoda,Cephalaspidea,Aglajidae,Chelidonura
Gastropoda,Neogastropoda,Columbellidae,Euplica
Gastropoda,Nudibranchia,Aeolidiidae,Cerberilla
Gastropoda,Neogastropoda,Muricidae,Tenguella
Gastropoda,Doridida,Chromodorididae,Verconia
Gastropoda,Neogastropoda,Austrosiphonidae,Penion
Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Alexania
Bivalvia,Venerida,Veneridae,Anomalodiscus
Gastropoda,Caenogastropoda incertae sedis,Batillariidae,Batillaria
Gastropoda,Nacellida,Nacellidae,Cellana
Gastropoda,Caenogastropoda incertae sedis,Potamididae,Cerithidea
Gastropoda,Caenogastropoda incertae sedis,Potamididae,Pirenella
Gastropoda,NA,Pyramidellidae,Cingulina
Gastropoda,Cycloneritida,Neritidae,Clithon
Bivalvia,Venerida,Mesodesmatidae,Coecella
Bivalvia,Venerida,Veneridae,Cyclina
Gastropoda,NA,Pyramidellidae,Pyrgulina
Bivalvia,Cardiida,Cardiidae,Fragum
Gastropoda,Cephalaspidea,Haminoeidae,Haloa
Gastropoda,Neogastropoda,Melongenidae,Hemifusus
Gastropoda,Littorinimorpha,Iravadiidae,Fluviocingula
Bivalvia,Venerida,Veneridae,Marcia
Bivalvia,Cardiida,Tellinidae,Jactellina
Bivalvia,Venerida,Veneridae,Meretrix
Bivalvia,Cardiida,Tellinidae,Jitlada
Gastropoda,Trochida,Trochidae,Monodonta
Bivalvia,Galeommatida,Lasaeidae,Montacutona
Gastropoda,Nacellida,Lottiidae,Patelloida
Gastropoda,Littorinimorpha,Eulimidae,Peasistilifer
Bivalvia,Lucinida,Lucinidae,Pillucina
Gastropoda,Caenogastropoda incertae sedis,Cerithiidae,Ittibittium
Gastropoda,Littorinimorpha,Tornidae,Pseudoliotia
Gastropoda,Cephalaspidea,Cylichnidae,Decorifer
Bivalvia,Ostreida,Ostreidae,Saccostrea
Gastropoda,Littorinimorpha,Stenothyridae,Stenothyra
Gastropoda,Littorinimorpha,Strombidae,Laevistrombus
Gastropoda,Neogastropoda,Muricidae,Reishia
Gastropoda,Littorinimorpha,Eulimidae,Parvioris
Bivalvia,Mytilida,Modiolidae,Vignadula
Bivalvia,Venerida,Kelliellidae,Alveinus
Gastropoda,Littorinimorpha,Pomatiopsidae,Cecina
Bivalvia,Venerida,Cyrenidae,Corbicula
Gastropoda,Neogastropoda,Mangeliidae,Eucithara
Bivalvia,Galeommatida,Galeommatidae,Galeommella
Bivalvia,Venerida,Glauconomidae,Glauconome
Gastropoda,Littorinimorpha,Naticidae,Laguncula
Bivalvia,NA,Laternulidae,Exolaternula
Bivalvia,Galeommatida,Lasaeidae,Litigiella
Bivalvia,Venerida,Mactridae,Meropesta
Bivalvia,Cardiida,Tellinidae,Iridona
Gastropoda,NA,Pyramidellidae,Tiberia
Bivalvia,Galeommatida,Lasaeidae,Borniopsis
Bivalvia,Cardiida,Tellinidae,Semelangulus
Bivalvia,Cardiida,Psammobiidae,Hiatula
Gastropoda,NA,Pyramidellidae,Tropaeas
Bivalvia,Lucinida,Lucinidae,Chavania
Polyplacophora,Chitonida,Chitonidae,Rhyssoplax
Gastropoda,Littorinimorpha,Vermetidae,Vermetus
Gastropoda,Neogastropoda,Pseudomelatomidae,Crassispira
Gastropoda,Neogastropoda,Marginellidae,Eratoidea
Gastropoda,Neogastropoda,Pisaniidae,Hesperisternia
Gastropoda,Neogastropoda,Muricidae,Bolinus
Gastropoda,Littorinimorpha,Strombidae,Conomurex
Gastropoda,Trochida,Turbinidae,Pomaulax
Gastropoda,Trochida,Turbinidae,Megastraea
Gastropoda,Trochida,Tegulidae,Tegula
Gastropoda,Doridida,Discodorididae,Peltodoris
Bivalvia,Unionida,Unionidae,Anodonta
Polyplacophora,Chitonida,Mopaliidae,Katharina
Gastropoda,NA,Lymnaeidae,Lymnaea
Gastropoda,NA,Lymnaeidae,Ampullaceana
Bivalvia,Unionida,Unionidae,Unio
Caudofoveata,Chaetodermatida,Limifossoridae,Scutopus
Gastropoda,Trochida,Tegulidae,Rochia
Bivalvia,Cardiida,Cardiidae,Tridacna
Gastropoda,Littorinimorpha,Naticidae,Bulbus
Gastropoda,Seguenziida,Calliotropidae,Calliotropis
Gastropoda,Littorinimorpha,Capulidae,Torellia
Gastropoda,Caenogastropoda incertae sedis,Newtoniellidae,Eumetula
Bivalvia,Myida,Xylophagaidae,Xylonora
Gastropoda,Neogastropoda,Retimohniidae,Retimohnia
Gastropoda,Neogastropoda,Raphitomidae,Pleurotomella
Gastropoda,Littorinimorpha,Aporrhaidae,Arrhoges
Gastropoda,Littorinimorpha,Velutinidae,Marsenina
Bivalvia,Mytilida,Mytilidae,Arvella
Gastropoda,Neogastropoda,Raphitomidae,Gymnobela
Bivalvia,Venerida,Mesodesmatidae,Mesodesma
Gastropoda,NA,Mathildidae,Turritellopsis
Gastropoda,Cocculinida,Teuthirostriidae,Fedikovella
Bivalvia,Lucinida,Lucinidae,Afrolucina
Gastropoda,Littorinimorpha,Cochliopidae,Spurwinkia
Gastropoda,NA,Pyramidellidae,Tibersyrnola
Bivalvia,Nuculanida,Neilonellidae,Pseudoneilonella
Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Couthouyella
Gastropoda,Trochida,Solariellidae,Lamellitrochus
Bivalvia,Nuculanida,Nuculanidae,Ledella
Gastropoda,Neogastropoda,Retimohniidae,Retifusus
Gastropoda,Neogastropoda,Volutomitridae,Volutomitra
Gastropoda,Littorinimorpha,Eulimidae,Pelseneeria
Cephalopoda,Oegopsida,Ancistrocheiridae,Ancistrocheirus
Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Acirsa
Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes
